image_id,source_dataset,rel_path,race_cat,gender_cat,age_cat,split,race_ml,skin_tone_bin,cultural_markers,ambiguous_mixed,prefer_not_to_label,unknown_uncertain,conf_race,conf_gender,conf_skin,annotation_notes
FA_FF_47373,FairFace,FairFace/train/47373.jpg,White,Female,20-29,train,White,5,none,0.0,0.0,0.0,0.845,0.817,0.768,
UT_UTK_1_0_0_20170109192219011.jpg.chip,UTKFace,UTKFace/1_0_0_20170109192219011.jpg.chip.jpg,White,Male,,train,White,7,none,0.0,0.0,1.0,0.901,0.844,0.663,auto: low confidence / uncertain
UT_UTK_35_1_0_20170117191606659.jpg.chip,UTKFace,UTKFace/35_1_0_20170117191606659.jpg.chip.jpg,White,Female,,train,White,6,none,0.0,0.0,1.0,0.501,0.831,0.602,auto: low confidence / uncertain
FA_FF_72456,FairFace,FairFace/train/72456.jpg,White,Female,20-29,train,White,6,none,0.0,0.0,1.0,0.324,0.961,0.681,auto: low confidence / uncertain
UT_UTK_18_1_0_20170109214726739.jpg.chip,UTKFace,UTKFace/18_1_0_20170109214726739.jpg.chip.jpg,White,Female,,train,White,3,none,0.0,0.0,0.0,0.876,0.972,0.686,
FA_FF_46882,FairFace,FairFace/train/46882.jpg,White,Male,30-39,train,White,3,none,0.0,0.0,1.0,0.357,0.82,0.57,auto: low confidence / uncertain
UT_UTK_16_0_0_20170117134538670.jpg.chip,UTKFace,UTKFace/16_0_0_20170117134538670.jpg.chip.jpg,White,Male,,train,White,2,none,0.0,0.0,0.0,0.874,0.922,0.694,
UT_UTK_52_0_0_20170105173619725.jpg.chip,UTKFace,UTKFace/52_0_0_20170105173619725.jpg.chip.jpg,White,Male,,train,White,7,none,0.0,0.0,0.0,0.876,0.969,0.705,
FA_FF_73224,FairFace,FairFace/train/73224.jpg,White,Female,30-39,train,White,6,none,0.0,0.0,1.0,0.379,0.989,0.563,auto: low confidence / uncertain
UT_UTK_28_0_0_20170113132654464.jpg.chip,UTKFace,UTKFace/28_0_0_20170113132654464.jpg.chip.jpg,White,Male,,train,White,6,none,0.0,0.0,0.0,0.879,0.912,0.574,
UT_UTK_10_1_0_20161220222001459.jpg.chip,UTKFace,UTKFace/10_1_0_20161220222001459.jpg.chip.jpg,White,Female,,train,White,1,none,0.0,0.0,0.0,0.88,0.818,0.653,
UT_UTK_7_0_0_20170110225109143.jpg.chip,UTKFace,UTKFace/7_0_0_20170110225109143.jpg.chip.jpg,White,Male,,train,White|Latino,7,none,1.0,0.0,1.0,0.59,0.919,0.615,auto: multi-heritage heuristic; auto: low confidence / uncertain
UT_UTK_32_1_0_20170117134737646.jpg.chip,UTKFace,UTKFace/32_1_0_20170117134737646.jpg.chip.jpg,White,Female,,train,White,7,none,0.0,0.0,0.0,0.988,0.95,0.765,
UT_UTK_16_1_0_20170109213117588.jpg.chip,UTKFace,UTKFace/16_1_0_20170109213117588.jpg.chip.jpg,White,Female,,train,White,4,none,0.0,0.0,1.0,0.832,0.994,0.716,auto: low confidence / uncertain
FA_FF_44018,FairFace,FairFace/train/44018.jpg,White,Female,20-29,train,White,3,none,0.0,0.0,0.0,0.925,0.875,0.56,
FA_FF_46208,FairFace,FairFace/train/46208.jpg,White,Female,20-29,train,White,3,none,0.0,0.0,0.0,0.984,0.873,0.534,
FA_FF_45504,FairFace,FairFace/train/45504.jpg,White,Female,30-39,train,White,4,none,0.0,0.0,0.0,0.848,0.963,0.72,
FA_FF_36863,FairFace,FairFace/train/36863.jpg,White,Male,40-49,train,White,5,none,0.0,0.0,0.0,0.932,0.993,0.682,
FA_FF_42414,FairFace,FairFace/train/42414.jpg,White,Female,30-39,train,White,5,none,0.0,0.0,0.0,0.943,0.98,0.612,
UT_UTK_54_0_0_20170113184055047.jpg.chip,UTKFace,UTKFace/54_0_0_20170113184055047.jpg.chip.jpg,White,Male,,train,White,4,none,0.0,0.0,1.0,0.305,0.942,0.502,auto: low confidence / uncertain
UT_UTK_68_1_0_20170110143529881.jpg.chip,UTKFace,UTKFace/68_1_0_20170110143529881.jpg.chip.jpg,White,Female,,train,White|Latino,6,none,1.0,0.0,1.0,0.765,0.843,0.701,auto: multi-heritage heuristic; auto: low confidence / uncertain
UT_UTK_16_0_0_20170110232647979.jpg.chip,UTKFace,UTKFace/16_0_0_20170110232647979.jpg.chip.jpg,White,Male,,train,White|Latino,3,beard,1.0,0.0,0.0,0.668,0.882,0.606,auto: multi-heritage heuristic
UT_UTK_68_0_0_20170117184556032.jpg.chip,UTKFace,UTKFace/68_0_0_20170117184556032.jpg.chip.jpg,White,Male,,train,White,4,none,0.0,0.0,1.0,0.929,0.838,0.533,auto: low confidence / uncertain
FA_FF_11937,FairFace,FairFace/train/11937.jpg,White,Male,20-29,train,White,5,beard,0.0,0.0,0.0,0.893,0.82,0.757,
UT_UTK_80_0_0_20170117173059810.jpg.chip,UTKFace,UTKFace/80_0_0_20170117173059810.jpg.chip.jpg,White,Male,,train,White,5,none,0.0,0.0,1.0,0.323,0.896,0.622,auto: low confidence / uncertain
FA_FF_18666,FairFace,FairFace/train/18666.jpg,White,Male,3-9,train,White,7,none,0.0,0.0,0.0,0.8,0.939,0.586,
FA_FF_85926,FairFace,FairFace/train/85926.jpg,White,Female,10-19,train,White,3,none,0.0,0.0,0.0,0.897,0.947,0.518,
UT_UTK_32_0_0_20170117120858247.jpg.chip,UTKFace,UTKFace/32_0_0_20170117120858247.jpg.chip.jpg,White,Male,,train,White|Latino,5,none,1.0,0.0,0.0,0.696,0.816,0.788,auto: multi-heritage heuristic
UT_UTK_49_1_0_20170104185051510.jpg.chip,UTKFace,UTKFace/49_1_0_20170104185051510.jpg.chip.jpg,White,Female,,train,White,6,none,0.0,0.0,0.0,0.847,0.919,0.574,
FA_FF_25291,FairFace,FairFace/train/25291.jpg,White,Male,20-29,train,White,2,none,0.0,0.0,0.0,0.905,0.879,0.572,
FA_FF_39010,FairFace,FairFace/train/39010.jpg,White,Female,20-29,train,White,6,none,0.0,0.0,1.0,0.95,0.999,0.8,auto: low confidence / uncertain
UT_UTK_20_1_0_20170117133854316.jpg.chip,UTKFace,UTKFace/20_1_0_20170117133854316.jpg.chip.jpg,White,Female,,train,White|Latino,3,none,1.0,0.0,1.0,0.583,0.849,0.521,auto: multi-heritage heuristic; auto: low confidence / uncertain
FA_FF_52180,FairFace,FairFace/train/52180.jpg,White,Male,30-39,train,White,2,none,0.0,0.0,0.0,0.861,0.911,0.7,
UT_UTK_13_1_0_20170109214635943.jpg.chip,UTKFace,UTKFace/13_1_0_20170109214635943.jpg.chip.jpg,White,Female,,train,White,7,none,0.0,0.0,0.0,0.853,0.856,0.547,
FA_FF_78159,FairFace,FairFace/train/78159.jpg,White,Male,40-49,train,White,7,none,0.0,0.0,0.0,0.971,0.927,0.515,
UT_UTK_63_0_0_20170117194948539.jpg.chip,UTKFace,UTKFace/63_0_0_20170117194948539.jpg.chip.jpg,White,Male,,train,White,7,none,0.0,0.0,0.0,0.826,0.912,0.712,
FA_FF_39130,FairFace,FairFace/train/39130.jpg,White,Male,0-2,train,White|Latino,4,none,1.0,0.0,0.0,0.759,0.98,0.592,auto: multi-heritage heuristic
UT_UTK_85_1_0_20170110183522560.jpg.chip,UTKFace,UTKFace/85_1_0_20170110183522560.jpg.chip.jpg,White,Female,,train,White,2,none,0.0,0.0,0.0,0.842,0.977,0.734,
FA_FF_12182,FairFace,FairFace/train/12182.jpg,White,Male,30-39,train,White,6,none,0.0,0.0,0.0,0.986,0.805,0.764,
